datetime,low,high,open,close,volumefrom,volumeto
2018-07-04,451.06,482.2,460.89,466.99,16081.83,7489591.49
2018-07-05,457.37,479.05,466.99,467.98,14252.21,6683988.84
2018-07-06,450.08,477.0,467.98,469.99,9005.83,4183244.49
2018-07-07,461.26,487.0,469.99,485.68,7700.5,3650553.96
2018-07-08,481.92,495.48,485.68,485.52,8879.97,4321466.68
2018-07-09,468.17,488.64,485.52,471.76,12176.44,5831552.37
2018-07-10,426.95,473.48,471.76,433.24,32529.14,14465722.84
2018-07-11,424.89,447.1,433.24,444.34,11055.06,4831248.18
2018-07-12,417.37,445.92,444.34,430.57,13839.76,5933860.05
2018-07-13,424.0,442.4,430.57,433.43,11426.97,4961020.34
2018-07-14,428.2,439.99,433.43,433.37,3707.71,1607752.46
2018-07-15,431.05,454.94,433.37,449.54,11051.8,4954806.28
2018-07-16,444.02,480.0,449.54,478.0,17599.98,8236863.39
2018-07-17,465.75,511.44,478.0,498.9,27583.62,13491675.6
2018-07-18,469.06,514.94,498.9,479.47,17950.88,8827798.19
2018-07-19,462.45,483.73,479.47,468.58,9223.82,4361604.85
2018-07-20,441.0,469.66,468.58,447.34,11213.47,5119097.95
2018-07-21,441.33,468.68,447.34,461.39,5795.98,2665757.34
2018-07-22,453.0,471.51,461.39,457.0,5169.7,2394027.55
2018-07-23,445.74,469.51,457.0,449.73,11768.88,5404493.57
2018-07-24,448.01,483.24,449.73,479.58,15138.01,7103846.09
2018-07-25,463.1,484.64,479.58,471.33,11699.13,5547067.79
2018-07-26,459.57,484.14,471.33,461.98,10386.12,4920088.7
2018-07-27,455.8,474.61,461.98,469.21,10102.08,4684922.19
2018-07-28,461.11,472.0,469.21,469.0,2160.23,1009706.15
2018-07-29,461.8,471.97,469.0,466.47,2204.24,1028442.56
2018-07-30,445.5,469.06,466.47,456.97,10719.74,4892642.39
2018-07-31,427.3,457.23,456.97,432.29,16276.38,7090601.79
2018-08-01,407.49,434.41,432.29,420.06,17818.57,7468005.1
2018-08-02,407.33,424.85,420.06,410.56,14313.3,5954815.21
2018-08-03,397.41,419.88,410.56,416.91,15210.82,6209972.29
2018-08-04,401.16,418.99,416.91,406.54,10050.63,4122164.46
2018-08-05,400.36,413.58,406.54,408.97,7449.33,3029059.21
2018-08-06,400.59,412.99,408.97,404.25,9716.07,3953960.95
2018-08-07,369.22,410.67,404.25,378.3,22084.43,8700819.43
2018-08-08,347.62,381.52,378.3,355.59,38217.34,13959803.63
2018-08-09,350.84,370.43,355.59,363.52,30689.28,11058293.08
2018-08-10,326.0,366.23,363.52,331.63,21295.27,7453618.69
2018-08-11,305.2,332.84,331.63,317.5,28984.52,9222618.76
2018-08-12,314.01,328.69,317.5,318.08,15797.54,5068227.2
2018-08-13,281.07,321.86,318.08,283.95,35376.53,10739356.81
2018-08-14,250.54,283.96,283.95,277.83,93651.36,24682548.69
2018-08-15,276.87,305.76,277.83,281.17,36888.34,10654712.32
2018-08-16,278.14,298.97,281.17,286.62,26607.61,7707006.73
2018-08-17,285.11,318.53,286.62,317.43,38560.07,11620021.97
2018-08-18,282.67,321.18,317.43,293.83,28432.14,8484409.55
2018-08-19,289.13,306.65,293.83,299.97,15283.59,4543476.94
2018-08-20,269.35,303.99,299.97,270.85,24070.61,6858707.92
2018-08-21,269.73,285.71,270.85,281.25,17859.54,4946818.1
2018-08-22,258.99,298.89,281.25,269.99,28132.21,7854319.61
2018-08-23,268.17,280.65,269.99,275.72,17426.25,4778703.6
2018-08-24,270.01,283.72,275.72,280.9,12600.89,3488787.96
2018-08-25,276.2,283.14,280.9,277.99,2568.84,717109.38
2018-08-26,269.61,277.99,277.99,274.69,6441.85,1763186.35
2018-08-27,271.3,288.25,274.69,287.99,12957.61,3604170.34
2018-08-28,282.5,297.97,287.99,295.9,18066.32,5223906.6
2018-08-29,284.0,297.04,295.9,288.34,10750.94,3124396.9
2018-08-30,272.23,290.81,288.34,284.21,21610.46,6085859.05
2018-08-31,276.23,284.93,284.21,281.49,13576.45,3813282.84
2018-09-01,281.47,302.66,281.49,295.45,13507.21,3963848.19
2018-09-02,288.78,299.16,295.45,294.75,13789.7,4065231.51
2018-09-03,285.0,296.38,294.75,288.85,14272.21,4126843.82
2018-09-04,281.99,292.29,288.85,285.22,20921.81,6003554.03
2018-09-05,226.0,287.55,285.22,227.99,53395.65,13681147.4
2018-09-06,210.79,259.48,227.99,229.03,62118.89,13883562.35
2018-09-07,213.37,233.99,229.03,214.77,47472.43,10449814.0
2018-09-08,190.11,220.38,214.77,197.16,51520.37,10496585.46
2018-09-09,185.82,208.37,197.16,195.8,37329.69,7367237.48
2018-09-10,186.44,202.77,195.8,196.66,44437.24,8631136.76
2018-09-11,176.0,199.03,196.66,185.04,83013.95,15473033.2
2018-09-12,167.0,185.04,185.04,182.78,70517.51,12243949.53
2018-09-13,182.78,214.88,182.78,211.31,90544.48,18089296.99
2018-09-14,202.53,223.91,211.31,208.71,72124.27,15423847.44
2018-09-15,208.19,227.0,208.71,221.93,16998.02,3755322.84
2018-09-16,205.62,223.0,221.93,220.08,17787.09,3854901.43
2018-09-17,192.0,225.0,220.08,196.16,50924.54,10670230.06
2018-09-18,194.0,214.39,196.16,208.53,35938.82,7361930.15
2018-09-19,196.66,214.7,208.53,209.48,49875.25,10352434.05
2018-09-20,206.8,227.68,209.48,224.3,36283.33,7783867.16
2018-09-21,220.64,252.14,224.3,247.64,74459.86,17379203.29
2018-09-22,232.6,255.89,247.64,239.93,31193.61,7489333.75
2018-09-23,237.0,249.44,239.93,244.14,19335.63,4684844.14
2018-09-24,224.5,245.76,244.14,228.05,22921.36,5365375.55
2018-09-25,203.25,228.05,228.05,218.85,43699.63,9326270.49
2018-09-26,207.21,223.0,218.85,214.42,29637.42,6381531.29
2018-09-27,210.0,234.0,214.42,228.58,46089.96,10193571.57
2018-09-28,214.32,233.65,228.58,220.94,40540.78,9110737.6
2018-09-29,212.54,236.98,220.94,230.56,32806.05,7400428.2
2018-09-30,224.0,238.47,230.56,231.96,16082.95,3723681.92
2018-10-01,218.0,234.58,231.96,229.66,13722.65,3140788.73
2018-10-02,221.39,230.74,229.66,224.83,14497.18,3278403.54
2018-10-03,210.5,225.22,224.83,218.96,38697.23,8425923.0
2018-10-04,218.12,225.0,218.96,221.07,18385.69,4093117.44
2018-10-05,218.28,230.29,221.07,226.73,14379.43,3205683.0
2018-10-06,222.0,227.19,226.73,223.06,9560.63,2140057.13
2018-10-07,220.1,225.98,223.06,224.34,11745.44,2615518.47
2018-10-08,222.2,230.98,224.34,227.79,25183.75,5718144.7
2018-10-09,224.84,228.8,227.79,226.3,13511.68,3059606.06
2018-10-10,221.11,226.47,226.3,223.38,13550.03,3024431.58
2018-10-11,185.0,223.39,223.38,188.42,71605.68,14355465.32
2018-10-12,186.89,197.89,188.42,194.67,22858.63,4427634.46
2018-10-13,193.0,199.27,194.67,196.79,13570.9,2673932.67
2018-10-14,187.45,199.5,196.79,192.01,13545.9,2643907.03
2018-10-15,189.71,219.75,192.01,204.86,103720.6,21170412.65
2018-10-16,201.99,208.26,204.86,205.69,30429.74,6217554.5
2018-10-17,200.99,206.4,205.69,203.41,29120.25,5943379.9
2018-10-18,196.63,205.95,203.41,199.29,38882.43,7856164.25
2018-10-19,197.27,202.1,199.29,200.08,26749.5,5344344.66
2018-10-20,198.84,206.0,200.08,202.59,18269.03,3701056.05
2018-10-21,201.08,206.21,202.59,202.19,27494.39,5617387.42
2018-10-22,199.33,203.24,202.19,201.23,11504.27,2319051.57
2018-10-23,197.65,202.1,201.23,200.96,20103.28,4024804.89
2018-10-24,200.0,202.84,200.96,200.67,15650.84,3152241.52
2018-10-25,197.88,200.89,200.67,199.66,11922.85,2378708.36
2018-10-26,198.54,204.27,199.66,200.69,18949.9,3807455.88
2018-10-27,199.92,201.97,200.69,201.26,6425.65,1291298.59
2018-10-28,200.8,203.16,201.26,202.44,6449.18,1301562.28
2018-10-29,191.37,202.77,202.44,194.14,20088.4,3948123.8
2018-10-30,192.96,196.69,194.14,195.3,11520.63,2239544.76
2018-10-31,191.65,199.16,195.3,196.68,14454.24,2821187.17
2018-11-01,195.96,198.56,196.68,197.73,7295.7,1435281.07
2018-11-02,197.46,201.49,197.73,199.9,9539.34,1899876.84
2018-11-03,197.95,200.2,199.9,198.78,5369.46,1067120.69
2018-11-04,197.61,217.21,198.78,210.28,27729.64,5789360.48
2018-11-05,205.04,212.0,210.28,208.81,18906.64,3939148.84
2018-11-06,206.96,219.07,208.81,218.24,36929.14,7877168.74
2018-11-07,215.29,222.98,218.24,216.6,31083.65,6808822.93
2018-11-08,209.27,218.15,216.6,210.14,22796.36,4857072.7
2018-11-09,206.01,212.27,210.14,208.05,13251.9,2772477.73
2018-11-10,207.6,212.5,208.05,210.38,9033.53,1902409.24
2018-11-11,206.11,211.2,210.38,210.03,5726.09,1195444.94
2018-11-12,206.92,211.25,210.03,208.83,8445.99,1769090.32
2018-11-13,202.71,208.83,208.83,203.43,18466.66,3796109.67
2018-11-14,165.01,204.83,203.43,178.04,141671.87,25728416.63
2018-11-15,165.14,181.0,178.04,178.6,87090.27,15159151.05
2018-11-16,169.25,179.41,178.6,172.11,41057.33,7211517.73
2018-11-17,170.45,176.0,172.11,172.4,14302.71,2462724.98
2018-11-18,172.15,179.95,172.4,175.99,19080.46,3341732.12
2018-11-19,142.27,175.99,175.99,145.31,167446.47,26060046.53
2018-11-20,121.61,149.35,145.31,127.36,213254.04,28436168.07
2018-11-21,122.37,137.46,127.36,134.44,132529.03,17389370.72
2018-11-22,122.42,136.6,134.44,123.4,49385.81,6435129.94
2018-11-23,116.18,125.14,123.4,121.33,103946.28,12549526.12
2018-11-24,106.81,125.99,121.33,110.26,65552.52,7575895.02
2018-11-25,98.11,119.06,110.26,113.59,153776.01,16620110.84
2018-11-26,102.69,117.59,113.59,106.82,128626.55,14157061.48
